CLC_CODE,LABEL3,RGB
111,Continuous urban fabric,230-000-077
112,Discontinuous urban fabric,255-000-000
121,Industrial or commercial units,204-077-242
122,Road and rail networks and associated land,204-000-000
123,Port areas,230-204-204
124,Airports,230-204-230
131,Mineral extraction sites,166-000-204
132,Dump sites,166-077-000
133,Construction sites,255-077-255
141,Green urban areas,255-166-255
142,Sport and leisure facilities,255-230-255
211,Non-irrigated arable land,255-255-168
212,Permanently irrigated land,255-255-000
213,Rice fields,230-230-000
221,Vineyards,230-128-000
222,Fruit trees and berry plantations,242-166-077
223,Olive groves,230-166-000
231,Pastures,230-230-077
241,Annual crops associated with permanent crops,255-230-166
242,Complex cultivation patterns,255-230-077
243,Land principally occupied by agriculture,230-204-077
244,Agro-forestry areas,242-204-166
311,Broad-leaved forest,128-255-000
312,Coniferous forest,000-166-000
313,Mixed forest,077-255-000
321,Natural grasslands,204-242-077
322,Moors and heathland,166-255-128
323,Sclerophyllous vegetation,166-230-077
324,Transitional woodland-shrub,166-242-000
331,"Beaches, dunes, sands",230-230-230
332,Bare rocks,204-204-204
333,Sparsely vegetated areas,204-255-204
334,Burnt areas,000-000-000
335,Glaciers and perpetual snow,166-230-204
411,Inland marshes,166-166-255
412,Peat bogs,077-077-255
421,Salt marshes,204-204-255
422,Salines,230-230-255
423,Intertidal flats,166-166-230
511,Water courses,000-204-242
512,Water bodies,128-242-230
521,Coastal lagoons,000-255-166
522,Estuaries,166-255-230
523,Sea and ocean,230-242-255
995,UNCLASSIFIED WATER BODIES,230-242-255
