ID,NAME,SURF,POP,URB,GDP
STP,Sao Tome and Principe,1,153,89,68
TON,Tonga,1,102,24,206
FSM,Micronesia (Federated States of),1,109,25,242
GNB,Guinea-Bissau,28,1473,473,289
SLB,Solomon Islands,28,474,80,298
VUT,Vanuatu,12,216,51,330
WSM,Samoa,3,179,41,381
COM,Comoros,2,616,223,385
VCT,Saint Vincent and the Grenadines,0,109,55,400
LBR,Liberia,96,3334,2000,436
GMB,Gambia,10,1526,872,446
GRD,Grenada,0,103,32,525
TLS,Timor-Leste,15,992,278,552
GNQ,Equatorial Guinea,28,609,188,626
GUY,Guyana,197,764,209,739
MDV,Maldives,0,292,100,739
LCA,Saint Lucia,1,165,45,773
DJI,Djibouti,23,805,692,776
BDI,Burundi,26,7378,749,780
BTN,Bhutan,47,650,197,822
CPV,Cape Verde,4,477,291,950
ERI,Eritrea,101,4473,879,962
BLZ,Belize,23,282,138,994
SLE,Sierra Leone,72,5107,2057,1161
SUR,Suriname,156,500,334,1163
CAF,Central African Republic,623,4101,1596,1367
LSO,Lesotho,30,1995,461,1775
MNG,Mongolia,1567,2550,1464,1830
MRT,Mauritania,1025,2985,1197,1915
MWI,Malawi,94,13655,2293,2028
RWA,Rwanda,25,8992,1619,2129
TGO,Togo,54,5992,2492,2167
TJK,Tajikistan,140,6536,1729,2223
KGZ,Kyrgyzstan,192,5221,1863,2360
LAO,Lao People's Democratic Republic,231,5880,1551,2603
FJI,Fiji,18,828,421,2701
SWZ,Swaziland,17,1124,271,2756
BRB,Barbados,0,253,112,2944
ZWE,Zimbabwe,387,12475,4706,3221
GIN,Guinea,246,9221,2970,3241
MDA,Moldova,33,3759,1651,3276
NER,Niger,1267,13102,2161,3397
COG,Congo,342,3417,2172,3935
BEN,Benin,111,7868,3397,4259
HTI,Haiti,28,9410,3974,4268
PSE,Occupied Palestinian Territory,6,3762,2693,4410
TCD,Chad,1259,10019,2563,4442
PNG,Papua New Guinea,453,6118,764,4704
NIC,Nicaragua,121,5455,3055,4792
ARM,Armenia,28,3065,1933,4948
MDG,Madagascar,582,17614,5313,4979
MLI,Mali,1220,11833,3537,5073
BFA,Burkina Faso,274,13747,2555,5159
MLT,Malta,0,403,377,5404
MKD,The former Yugoslav Republic of Macedonia,25,2035,1331,5711
KHM,Cambodia,177,13866,2753,5941
NAM,Namibia,823,2009,708,6206
MOZ,Mozambique,784,20834,7084,6220
MUS,Mauritius,2,1252,525,6285
GEO,Georgia,70,4465,2347,6485
BHS,Bahamas,10,325,269,6747
COD,Congo R.D.,2267,59077,18860,6793
ZMB,Zambia,743,11738,4017,6804
GAB,Gabon,258,1369,1079,7269
AFG,Afghanistan,652,24507,5740,7335
PRY,Paraguay,397,5904,3453,7341
NPL,Nepal,143,27222,4269,7414
TKM,Turkmenistan,470,4843,2287,7504
